prefecture,lat,lon,coord
重庆市,29.544606108886146,106.53063501341295,"29.544606,106.53063"
保定市,38.88656454802744,115.49481016907629,"38.886564,115.49481"
石家庄市,38.048958314615454,114.52208184420765,"38.048958,114.52208"
成都市,30.679942845419564,104.06792346330406,"30.679942,104.06792"
邢台市,37.069531196911996,114.52048681294414,"37.069531,114.52048"
赣州市,25.84529553634676,114.93590907928379,"25.845295,114.93590"
日喀则市,29.26816003265482,88.95606277351818,"29.268160,88.956062"
哈尔滨市,45.773224633239295,126.65771685544613,"45.773224,126.65771"
甘孜藏族自治州,30.05514411435553,101.9692320630638,"30.055144,101.96923"
邯郸市,36.609307928471175,114.4826939323422,"36.609307,114.48269"
桂林市,25.262901245955238,110.26092014748276,"25.262901,110.26092"
伊春市,47.73468507507862,128.9107659779216,"47.734685,128.91076"
凉山彝族自治州,27.89239290366571,102.25959080320288,"27.892392,102.25959"
临汾市,36.099745443585356,111.53878759640808,"36.099745,111.53878"
黔东南苗族侗族自治州,26.583991766541608,107.98535257274064,"26.583991,107.98535"
北京市,39.929985778080244,116.39564503787868,"39.929985,116.39564"
齐齐哈尔市,47.34769981336638,123.98728894217251,"47.347699,123.98728"
上海市,31.24916171001514,121.48789948569471,"31.249161,121.48789"
天津市,39.14392990331008,117.21081309155257,"39.143929,117.21081"
沧州市,38.297615350325714,116.86380647644206,"38.297615,116.86380"
张家口市,40.81118849110306,114.8937815303292,"40.811188,114.89378"
洛阳市,34.65736781765111,112.44752476895121,"34.657367,112.44752"
忻州市,38.46103057295889,112.72793882880985,"38.461030,112.72793"
咸阳市,34.34537299599856,108.70750927819564,"34.345372,108.70750"
呼伦贝尔市,49.20163605460434,119.76082179399948,"49.201636,119.76082"
唐山市,39.6505309225366,118.18345059773412,"39.650530,118.18345"
遵义市,27.69996137707625,106.93126031648451,"27.699961,106.93126"
昆明市,25.04915310045316,102.71460113878044,"25.049153,102.71460"
武汉市,30.581084126920747,114.31620010268131,"30.581084,114.31620"
宜昌市,30.73275781802591,111.31098109196085,"30.732757,111.31098"
福州市,26.047125496572928,119.33022110712669,"26.047125,119.33022"
吕梁市,37.52731609696258,111.143156602348,"37.527316,111.14315"
南阳市,33.011419569116505,112.5428419005123,"33.011419,112.54284"
长治市,36.201664385743435,113.12029208572514,"36.201664,113.12029"
阿坝藏族羌族自治州,31.90576285833887,102.22856468921428,"31.905762,102.22856"
运城市,35.03885947981193,111.00685365308031,"35.038859,111.00685"
沈阳市,41.808644783515746,123.43279092160505,"41.808644,123.43279"
九江市,29.71963952612237,115.99984802155373,"29.719639,115.99984"
延安市,36.60332035226031,109.50050975696924,"36.603320,109.50050"
红河哈尼族彝族自治州,23.367717516498995,103.3840647571592,"23.367717,103.38406"
杭州市,30.259244461536106,120.2193754157201,"30.259244,120.21937"
西安市,34.277799897830626,108.95309827919624,"34.277799,108.95309"
吉安市,27.113847650157084,114.99203871092016,"27.113847,114.99203"
潍坊市,36.71611487305138,119.14263382297052,"36.716114,119.14263"
泉州市,24.901652383991102,118.60036234322935,"24.901652,118.60036"
锡林郭勒盟,43.93970484232425,116.02733968895716,"43.939704,116.02733"
怀化市,27.557482901172786,109.9869587958539,"27.557482,109.98695"
衡阳市,26.89816441535812,112.58381881071615,"26.898164,112.58381"
上饶市,28.457622553937274,117.95546387714892,"28.457622,117.95546"
